site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
ARS0001,2020-08-14 22:00:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 22:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 22:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 22:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 23:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 23:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 23:30:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 23:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 00:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 00:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 00:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 00:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 01:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 01:15:00-05,,0.07,0.08,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 01:30:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 01:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 02:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 02:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 02:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 02:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 03:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 03:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 03:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 03:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 04:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 04:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 04:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 04:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 05:00:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 05:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 05:30:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 05:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 06:00:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 06:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 06:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
