GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
27045,2230746823,2055507,68.1,52.18,2230.746823,2.055507,1519.138586463,1164.0036922414
45023,1503893316,14261786,25.8,6.74,1503.893316,14.261786,388.00447552799994,101.3624094984
27073,1981394520,33643131,85.8,76.64,1981.39452,33.643131,1700.0364981599998,1518.540760128
49005,3016670856,21097698,37.1,21.38,3016.670856,21.097698,1119.1848875760002,644.9642290127999
55093,1486126051,46825858,63.5,45.28,1486.126051,46.825858,943.690042385,672.9178758927999
13049,2003702672,22676200,4.2,0.46,2003.702672,22.6762,84.15551222399999,9.217032291199999
13233,803751977,4688357,31.3,14.43,803.751977,4.688357,251.57436880100002,115.9814102811
17113,3064581023,7842778,81.9,79.22,3064.581023,7.842778,2509.8918578370003,2427.7610864206003
23001,1211961731,75575386,18.6,8.2,1211.961731,75.575386,225.42488196600004,99.380861942
16055,3205258021,185023431,17.6,7.86,3205.258021,185.023431,564.1254116960001,251.93328045060002
32003,20439281450,438376844,,0.08,20439.28145,438.376844,,16.351425159999998
20147,2294395642,22493382,87.7,44.83,2294.395642,22.493382,2012.184978034,1028.5775663086
31089,6248083634,13201503,90.2,39.38,6248.083634,13.201503,5635.771437867999,2460.4953350692
29101,2147833558,10122996,72.3,42.86,2147.833558,10.122996,1552.8836624339997,920.5614629588
55063,1170076495,73110306,49.9,29.7,1170.076495,73.110306,583.868171005,347.51271901499996
22021,1371203831,29277303,20.0,6.45,1371.203831,29.277303,274.2407662,88.44264709950001
21061,784468319,13258106,42.1,19.65,784.468319,13.258106,330.261162299,154.14802468349998
17005,984918649,6426353,71.0,61.57,984.918649,6.426353,699.2922407899999,606.4144121893
17009,791518279,4139308,72.4,45.08,791.518279,4.139308,573.059233996,356.81644017319996
27085,1272940264,36370228,85.4,79.12,1272.940264,36.370228,1087.0909854560002,1007.1503368768001
55033,2201882935,35592324,64.0,44.25,2201.882935,35.592324,1409.2050784,974.3331987375001
