"Gravelly"|"165027298"|"48887017"
"Gravelly"|"165027301"|"48886625"
"Gravelly"|"165027302"|"48886624"
"Gravelly"|"165027304"|"48887184"
"Gravelly"|"165027305"|"48887186"
"Gravelly"|"165027307"|"48887185"
"Gravelly"|"165027311"|"48887189"
"Gravelly"|"165027313"|"48887190"
"Gravelly"|"165027314"|"48887187"
"Gravelly"|"165027317"|"48887191"
"Gravelly"|"165027318"|"48887188"
"Cobbly"|"165027320"|"48887192"
"Very gravelly"|"165027322"|"48887180"
"Extremely gravelly"|"165027323"|"48887181"
"Very gravelly"|"165027324"|"48887182"
"Extremely gravelly"|"165027325"|"48887183"
"Very gravelly"|"165027328"|"48886308"
"Extremely gravelly"|"165027329"|"48886309"
"Very gravelly"|"165027330"|"48886310"
"Very gravelly"|"165027331"|"48886306"
"Very gravelly"|"165027332"|"48886307"
"Gravelly"|"165027335"|"48886229"
"Very gravelly"|"165027336"|"48886232"
"Very gravelly"|"165027337"|"48886233"
"Gravelly"|"165027343"|"48886231"
"Gravelly"|"165027346"|"48886230"
"Gravelly"|"165027347"|"48886168"
"Gravelly"|"165027352"|"48886549"
"Very gravelly"|"165027356"|"48886642"
"Very gravelly"|"165027357"|"48886643"
"Very gravelly"|"165027358"|"48886644"
"Very gravelly"|"165027359"|"48886645"
"Very gravelly"|"165027360"|"48886646"
"Extremely gravelly"|"165027364"|"48886877"
"Extremely gravelly"|"165027365"|"48886878"
"Very gravelly"|"165027366"|"48886879"
"Very gravelly"|"165027367"|"48886880"
"Extremely gravelly"|"165027368"|"48886873"
"Extremely gravelly"|"165027369"|"48886874"
"Very gravelly"|"165027370"|"48886875"
"Very gravelly"|"165027371"|"48886876"
"Very gravelly"|"165027372"|"48886871"
"Gravelly"|"165027373"|"48886872"
"Very gravelly"|"165027376"|"48887000"
"Extremely gravelly"|"165027377"|"48887001"
"Very gravelly"|"165027379"|"48887002"
"Extremely gravelly"|"165027380"|"48887003"
"Extremely gravelly"|"165027383"|"48887027"
"Extremely gravelly"|"165027384"|"48887028"
"Very gravelly"|"165027385"|"48887025"
"Very gravelly"|"165027386"|"48887026"
"Very gravelly"|"165027387"|"48887024"
"Gravelly"|"165027394"|"48886408"
"Very gravelly"|"165027395"|"48886409"
"Very gravelly"|"165027396"|"48886410"
"Gravelly"|"165027399"|"48887018"
"Gravelly"|"165027402"|"48887019"
"Gravelly"|"165027405"|"48886682"
"Gravelly"|"165027406"|"48886683"
"Gravelly"|"165027408"|"48886684"
"Gravelly"|"165027412"|"48886411"
"Very gravelly"|"165027413"|"48886412"
"Very gravelly"|"165027414"|"48886413"
"Very gravelly"|"165027416"|"48886881"
"Gravelly"|"165027417"|"48886882"
"Extremely gravelly"|"165027420"|"48886887"
"Extremely gravelly"|"165027421"|"48886888"
"Very gravelly"|"165027422"|"48886889"
"Very gravelly"|"165027423"|"48886890"
"Extremely gravelly"|"165027424"|"48886883"
"Extremely gravelly"|"165027425"|"48886884"
"Very gravelly"|"165027426"|"48886885"
"Very gravelly"|"165027427"|"48886886"
"Extremely gravelly"|"165027429"|"48887032"
"Extremely gravelly"|"165027430"|"48887033"
"Very gravelly"|"165027431"|"48887030"
"Very gravelly"|"165027432"|"48887031"
"Very gravelly"|"165027433"|"48887029"
"Gravelly"|"165027435"|"48887262"
"Gravelly"|"165027436"|"48887261"
"Gravelly"|"165027438"|"48887263"
"Very gravelly"|"165027439"|"48887264"
"Very gravelly"|"165027440"|"48887265"
"Very gravelly"|"165027449"|"48887273"
"Gravelly"|"165027450"|"48887274"
"Very gravelly"|"165027451"|"48887270"
"Very gravelly"|"165027452"|"48887271"
"Very gravelly"|"165027453"|"48887272"
"Extremely gravelly"|"165027454"|"48887266"
"Very gravelly"|"165027455"|"48887267"
"Very gravelly"|"165027456"|"48887268"
"Very gravelly"|"165027457"|"48887269"
"Gravelly"|"165027461"|"48886983"
"Gravelly"|"165027462"|"48886984"
"Very gravelly"|"165027463"|"48886985"
"Gravelly"|"165027464"|"48886986"
"Very gravelly"|"165027465"|"48886987"
"Gravelly"|"165027468"|"48887020"
"Gravelly"|"165027470"|"48886414"
"Very gravelly"|"165027471"|"48886415"
"Very gravelly"|"165027472"|"48886416"
"Very gravelly"|"165027477"|"48887004"
"Extremely gravelly"|"165027478"|"48887005"
"Very gravelly"|"165027479"|"48887006"
"Extremely gravelly"|"165027480"|"48887007"
"Gravelly"|"165027482"|"48886626"
"Gravelly"|"165027483"|"48886627"
"Gravelly"|"165027485"|"48886169"
"Gravelly"|"165027486"|"48886170"
"Very gravelly"|"165027489"|"48887229"
"Very gravelly"|"165027490"|"48887230"
"Extremely gravelly"|"165027491"|"48887231"
"Very gravelly"|"165027492"|"48887232"
"Very gravelly"|"165027493"|"48887233"
"Gravelly"|"165027494"|"48887234"
"Very gravelly"|"165027495"|"48887235"
"Gravelly"|"165027496"|"48887236"
"Very gravelly"|"165027497"|"48887237"
"Very gravelly"|"165027500"|"48887242"
"Gravelly"|"165027501"|"48887243"
"Very gravelly"|"165027502"|"48887244"
"Very gravelly"|"165027503"|"48887245"
"Very gravelly"|"165027504"|"48887246"
"Very cobbly"|"165027505"|"48887247"
"Very gravelly"|"165027508"|"48887238"
"Gravelly"|"165027510"|"48887239"
"Gravelly"|"165027519"|"48887240"
"Gravelly"|"165027522"|"48887241"
"Very gravelly"|"165027527"|"48887012"
"Extremely gravelly"|"165027528"|"48887013"
"Very gravelly"|"165027529"|"48887014"
"Extremely gravelly"|"165027530"|"48887015"
"Very gravelly"|"165027537"|"48886980"
"Gravelly"|"165027538"|"48886979"
"Very gravelly"|"165027539"|"48886982"
"Very gravelly"|"165027540"|"48886981"
"Gravelly"|"165027542"|"48886631"
"Gravelly"|"165027543"|"48886630"
"Very gravelly"|"165027545"|"48887034"
"Very gravelly"|"165027546"|"48887035"
"Very gravelly"|"165027547"|"48887036"
"Extremely gravelly"|"165027548"|"48887037"
"Extremely gravelly"|"165027549"|"48887038"
"Gravelly"|"165027552"|"48886685"
"Gravelly"|"165027553"|"48886686"
"Gravelly"|"165027555"|"48886687"
"Very gravelly"|"165027560"|"48886691"
"Very gravelly"|"165027561"|"48886692"
"Extremely gravelly"|"165027562"|"48886693"
"Extremely gravelly"|"165027563"|"48886694"
"Very gravelly"|"165027564"|"48886695"
"Very gravelly"|"165027565"|"48886696"
